Voltage (V),Current (A),Capacity (mAh),T1(C),
4.34,-13.9994,0,24.5,
4.2733,-13.999,116.7,24.6,
4.2604,-13.9995,233.3,24.7,
4.25,-13.9991,350,24.8,
4.2401,-14.0005,466.6,24.9,
4.2306,-13.9985,583.3,25,
4.2211,-13.999,700,25.1,
4.2118,-13.9999,816.6,25.1,
4.2024,-14.0001,933.3,25.2,
4.193,-13.9993,1049.9,25.2,
4.1836,-13.999,1166.6,25.3,
4.1743,-14.0002,1283.3,25.3,
4.1649,-14.0001,1399.9,25.4,
4.1555,-13.9996,1516.6,25.4,
4.1462,-13.9991,1633.2,25.5,
4.1369,-13.9989,1749.9,25.5,
4.1276,-13.9997,1866.5,25.6,
4.1184,-13.9992,1983.2,25.6,
4.1091,-13.9989,2099.9,25.6,
4.0999,-13.9995,2216.5,25.6,
4.0907,-13.9991,2333.2,25.6,
4.0815,-13.9988,2449.8,25.7,
4.0724,-13.9994,2566.5,25.7,
4.0632,-13.9994,2683.2,25.7,
4.0541,-13.9987,2799.8,25.8,
4.045,-13.9986,2916.5,25.8,
4.0359,-13.999,3033.1,25.8,
4.027,-13.9989,3149.8,25.9,
4.0183,-13.9991,3266.5,25.9,
4.0103,-13.9991,3383.1,25.9,
4.0027,-13.9998,3499.8,26,
3.995,-13.9989,3616.4,26,
3.9867,-13.9986,3733.1,26.1,
3.9776,-13.9987,3849.8,26.1,
3.968,-13.9994,3966.4,26.1,
3.958,-13.9992,4083.1,26.2,
3.9481,-13.999,4199.7,26.2,
3.9387,-13.9995,4316.4,26.1,
3.93,-13.9997,4433,26.1,
3.9218,-13.9994,4549.7,26,
3.914,-13.999,4666.4,26,
3.9066,-13.9988,4783,25.9,
3.8997,-13.9992,4899.7,25.8,
3.8932,-13.9996,5016.3,25.8,
3.887,-13.9997,5133,25.8,
3.8809,-13.9984,5249.7,25.8,
3.8747,-13.999,5366.3,25.7,
3.8686,-13.9993,5483,25.7,
3.8626,-13.9993,5599.6,25.7,
3.8565,-13.999,5716.3,25.7,
3.8506,-13.9991,5833,25.7,
3.8447,-13.9984,5949.6,25.7,
3.839,-13.9994,6066.3,25.7,
3.8334,-13.9992,6182.9,25.7,
3.8279,-13.9988,6299.6,25.8,
3.8225,-13.9991,6416.3,25.8,
3.8172,-13.9991,6532.9,25.8,
3.8121,-13.9993,6649.6,25.8,
3.807,-13.9987,6766.2,25.8,
3.8021,-13.9997,6882.9,25.8,
3.7973,-13.9988,6999.6,25.8,
3.7926,-13.999,7116.2,25.8,
3.7879,-13.9991,7232.9,25.9,
3.7834,-13.999,7349.5,25.9,
3.779,-13.9991,7466.2,25.9,
3.7747,-13.999,7582.9,25.9,
3.7704,-13.9986,7699.5,25.9,
3.7663,-14,7816.2,25.9,
3.7623,-13.9988,7932.8,25.9,
3.7583,-13.9989,8049.5,25.9,
3.7544,-13.9994,8166.1,25.9,
3.7507,-13.9991,8282.8,26,
3.7469,-13.999,8399.5,26,
3.7434,-13.9993,8516.1,26,
3.7398,-13.9993,8632.8,26.1,
3.7364,-13.9988,8749.4,26.1,
3.733,-13.9993,8866.1,26.1,
3.7297,-13.9989,8982.8,26.1,
3.7265,-13.999,9099.4,26.2,
3.7234,-13.9987,9216.1,26.2,
3.7203,-13.9993,9332.7,26.2,
3.7174,-13.9987,9449.4,26.2,
3.7145,-13.9994,9566.1,26.3,
3.7117,-13.9993,9682.7,26.3,
3.709,-13.9993,9799.4,26.3,
3.7064,-13.999,9916,26.4,
3.704,-13.999,10032.7,26.4,
3.7017,-13.9995,10149.4,26.5,
3.6994,-13.999,10266,26.5,
3.6972,-13.999,10382.7,26.5,
3.695,-13.999,10499.3,26.6,
3.6929,-13.9992,10616,26.6,
3.6907,-13.9994,10732.7,26.7,
3.6884,-13.999,10849.3,26.7,
