Voltage (V),Current (A),Capacity (mAh),T1(C)
-69.9943,0.0,25.0,4.3376
-69.9924,19.4,25.0,4.1759
-69.9976,38.9,24.9,4.1654
-69.9975,58.3,25.0,4.1568
-69.9977,77.8,24.9,4.149
-69.9979,97.2,25.0,4.1422
-69.9988,116.7,24.9,4.1359
-69.9977,136.1,25.0,4.1302
-69.9987,155.6,24.9,4.125
-69.9984,175.0,25.1,4.1202
-69.9979,194.4,25.1,4.1155
-69.9976,213.9,25.0,4.1113
-69.9983,233.3,25.1,4.1074
-69.9944,252.8,25.0,4.1036
-69.9957,272.2,25.1,4.1
-69.9986,291.7,25.1,4.0967
-69.9978,311.1,25.1,4.0935
-69.9982,330.5,25.1,4.0905
-69.9981,350.0,25.1,4.0876
-69.9974,369.4,25.2,4.0848
-69.997,388.9,25.1,4.0822
-69.9978,408.3,25.2,4.0797
-69.9979,427.8,25.3,4.0772
-69.9971,447.2,25.2,4.0749
-69.9966,466.7,25.3,4.0727
-69.9977,486.1,25.2,4.0705
-69.9982,505.5,25.4,4.0684
-69.9953,525.0,25.3,4.0664
-69.9943,544.4,25.4,4.0644
-70.0,563.9,25.3,4.0626
-69.9966,583.3,25.5,4.0607
-69.9987,602.8,25.4,4.059
-69.9988,622.2,25.4,4.0572
-69.9986,641.6,25.5,4.0555
-69.9974,661.1,25.5,4.0538
-69.997,680.5,25.6,4.0522
-69.9966,700.0,25.6,4.0506
-69.9974,719.4,25.6,4.0491
-69.9974,738.9,25.7,4.0475
-69.9975,758.3,25.6,4.046
-69.9973,777.8,25.7,4.0445
-69.9964,797.2,25.6,4.0431
-69.9974,816.6,25.8,4.0417
-69.9974,836.1,25.8,4.0402
-69.9971,855.5,25.7,4.0388
-69.9966,875.0,25.9,4.0375
-69.9961,894.4,25.8,4.0361
-69.9981,913.9,25.9,4.0347
-69.9964,933.3,25.9,4.0335
-69.9977,952.7,26.0,4.0321
-69.9963,972.2,25.9,4.0308
-69.9955,991.6,26.0,4.0295
-69.9979,1011.1,26.0,4.0282
-69.9995,1030.5,26.0,4.0269
-69.9955,1050.0,26.1,4.0257
-69.998,1069.4,26.2,4.0244
-69.9978,1088.9,26.1,4.0232
-69.9971,1108.3,26.2,4.0219
-69.9973,1127.7,26.2,4.0207
-69.9972,1147.2,26.3,4.0194
-69.9981,1166.6,26.2,4.0182
-69.9969,1186.1,26.3,4.017
-69.9969,1205.5,26.3,4.0158
-69.9964,1225.0,26.4,4.0146
-69.9966,1244.4,26.4,4.0133
-69.9973,1263.8,26.4,4.0121
-69.9979,1283.3,26.4,4.0109
-69.9968,1302.7,26.5,4.0097
-69.9975,1322.2,26.5,4.0086
-69.9974,1341.6,26.6,4.0073
-69.9972,1361.1,26.5,4.0061
-69.9975,1380.5,26.7,4.0049
-69.997,1400.0,26.5,4.0038
-69.9974,1419.4,26.7,4.0025
-69.9985,1438.8,26.6,4.0014
-69.9984,1458.3,26.8,4.0002
-69.9979,1477.7,26.8,3.999
-69.9992,1497.2,26.7,3.9978
-69.9976,1516.6,26.8,3.9966
-69.9961,1536.1,26.8,3.9954
-69.9996,1555.5,26.9,3.9942
-69.9953,1574.9,26.9,3.993
-69.9967,1594.4,26.9,3.9919
-69.9972,1613.8,27.0,3.9907
-69.9999,1633.3,26.9,3.9894
-69.9969,1652.7,27.1,3.9883
-69.9979,1672.2,27.0,3.9871
-69.9967,1691.6,27.0,3.9859
-69.9979,1711.1,27.2,3.9847
-69.9968,1730.5,27.1,3.9835
-69.9966,1749.9,27.2,3.9823
-69.9988,1769.4,27.1,3.9811
-69.9977,1788.8,27.3,3.9799
-69.9981,1808.3,27.2,3.9787
-69.9973,1827.7,27.3,3.9775
-69.998,1847.2,27.3,3.9763
-69.9979,1866.6,27.3,3.9751
-69.9972,1886.0,27.4,3.9739
-69.9973,1905.5,27.4,3.9727
-69.9984,1924.9,27.4,3.9715
-69.9968,1944.4,27.5,3.9703
-69.9979,1963.8,27.4,3.9691
-69.9978,1983.3,27.6,3.9679
-69.9973,2002.7,27.5,3.9667
-69.9976,2022.2,27.7,3.9655
-69.9976,2041.6,27.6,3.9643
-69.9979,2061.0,27.7,3.9631
-69.9992,2080.5,27.6,3.9618
-69.9972,2099.9,27.8,3.9607
-69.9968,2119.4,27.8,3.9595
-69.9972,2138.8,27.8,3.9582
-69.9979,2158.3,27.8,3.957
-69.9967,2177.7,27.9,3.9558
-70.0005,2197.1,27.8,3.9546
-69.9976,2216.6,27.9,3.9533
