Time_s,Voltage_V,Current_A,SOC,Temperature_C
0,2.8620770500462047,0.0,0.9,25.043079013735525
1,2.855258231039233,0.0,0.9,25.08690307516073
2,2.848722628796451,0.0,0.9,25.131436766112785
3,2.8424585030241762,0.0,0.9,25.176646149191832
4,2.8364545996478383,0.0,0.9,25.222498706278092
5,2.8307001306844066,0.0,0.9,25.26896327963215
6,2.8251847549479208,0.0,0.9,25.31601001543567
7,2.8198985595535575,0.0,0.9,25.363610309671426
8,2.8148320421872044,0.0,0.9,25.411736756245862
9,2.8099760941088427,0.0,0.9,25.460363097261276
10,2.8053219838593897,0.0,0.9,25.509464175348647
11,2.8008613416418777,0.0,0.9,25.55901588797576
12,2.796586144349067,0.0,0.9,25.60899514364884
13,2.7924887012107438,0.0,0.9,25.659379819929317
14,2.788561640035057,0.0,0.9,25.710148723190507
15,2.7847978940193028,0.0,0.9,25.761281550042217
16,2.7811906891066096,0.0,0.9,25.81275885035415
17,2.7777335318659087,0.0,0.9,25.864561991811943
18,2.7744201978735576,0.0,0.9,25.916673125942342
19,2.7712447205758357,0.0,0.9,25.9690751555467
20,2.768201380612429,0.0,0.9,26.02175170348445
21,2.7652846955818116,0.0,0.9,26.074687082750646
22,2.7624894102302515,0.0,0.9,26.127866267793994
23,2.759810487046891,0.0,0.9,26.18127486702399
24,2.7572430972481166,0.0,0.9,26.234899096457927
25,2.7547826121350885,0.0,0.9,26.28872575446051
26,2.752424594809005,0.0,0.9,26.342742197530917
27,2.750164792229279,0.0,0.9,26.396936317093814
28,2.7479991276004507,0.0,0.9,26.45129651725285
29,2.7459236930742215,0.0,0.9,26.505811693466654
30,2.743934742753572,0.0,0.9,26.560471212109228
31,2.7420286859864618,0.0,0.9,26.615264890878002
32,2.7402020809371246,0.0,0.9,26.67018298001454
33,2.7384516284234737,0.0,0.9,26.72521614430413
34,2.736774166009602,0.0,0.9,26.780355445822078
35,2.7351666623428192,0.0,0.9,26.83559232739571
36,2.7336262117251056,0.0,0.9,26.890918596752467
37,2.7321500289092833,0.0,0.9,26.946326411325675
38,2.7307354441106018,0.0,0.9,27.0018082636907
39,2.7293798982248223,0.0,0.9,27.05735696760541
40,2.7280809382442577,0.0,0.9,27.112965644629877
41,2.726836212863575,0.0,0.9,27.16862771130137
42,2.7256434682674966,0.0,0.9,27.22433686684154
43,2.724500544092893,0.0,0.9,27.28008708137386
44,2.7234053695580216,0.0,0.9,27.335872584630064
45,2.7223559597520253,0.0,0.9,27.39168785512539
46,2.721350412078025,0.0,0.9,27.4475276097832
47,2.7203869028434786,0.0,0.9,27.503386793990305
48,2.719463683991689,0.0,0.9,27.559260572065195
49,2.718579079968635,0.0,0.9,27.615144318122038
50,2.717731484719512,0.0,0.9,27.67103360731405
51,2.716919358809626,0.0,0.9,27.726924207440508
52,2.716141226664475,0.0,0.9,27.782812070902335
53,2.7153956739241174,0.0,0.9,27.838693326991816
54,2.714681344907053,0.0,0.9,27.89456427450258
55,2.713996940179127,0.0,0.9,27.950421374646588
56,2.71334121422308,0.0,0.9,28.00626124426538
57,2.712712973204592,0.0,0.9,28.06208064932341
58,2.7121110728308224,0.0,0.9,28.117876498671727
59,2.711534416297621,0.0,0.9,28.17364583807086
60,2.710981952321731,0.0,0.9,28.2293858444621
61,2.71045267325448,0.0,0.9,28.285093820476902
62,2.70994561327357,0.0,0.9,28.340767189174535
63,2.7094598466497497,0.0,0.9,28.396403488998516
64,2.708994486085255,0.0,0.9,28.452000368942752
65,2.7085486811210564,0.0,0.9,28.507555583918684
66,2.7081216166100637,0.0,0.9,28.563066990315104
67,2.7077125112535536,0.0,0.9,28.61853254174267
68,2.707320616198209,0.0,0.9,28.673950284955424
69,2.7069452136912524,0.0,0.9,28.72931835594199
70,2.7065856157912838,0.0,0.9,28.78463497617942
71,2.7062411631324963,0.0,0.9,28.839898449042913
72,2.70591122374008,0.0,0.9,28.895107156364997
73,2.7055951918946817,0.0,0.9,28.950259555137883
74,2.7052924870438955,0.0,0.9,29.005354174353144
75,2.7050025527588373,0.0,0.9,29.060389611972937
76,2.7047248557339327,0.0,0.9,29.115364532027396
77,2.704458884828136,0.0,0.9,29.17027766183287
78,2.7042041501458565,0.0,0.9,29.22512778932607
79,2.7039601821559636,0.0,0.9,29.279913760509242
80,2.703726530847267,0.0,0.9,29.334634477001828
81,2.703502764918998,0.0,0.9,29.389288893694122
82,2.70328847100481,0.0,0.9,29.44387601649876
83,2.703083252928929,0.0,0.9,29.49839490019592
84,2.70288673099312,0.0,0.9,29.55284464636837
85,2.702698541293191,0.0,0.9,29.607224401422652
86,2.702518335063807,0.0,0.9,29.661533354692757
87,2.702345778050459,0.0,0.9,29.715770736622957
